pvs,src,codec,res_label,short_side,crf,pvs_set,bitrate_kbps,src_bitdepth,fps,v0_1080,v0_4k,v1_1d5h_2160,v1_1d5h_2160_8bit,v1_3d0h_1080
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf20,Aerial3200_1920x1080_5994_10bit_420,av1,720p,720,20,ladder,5111.147,10-bit src,59.94006309148265,92.669,94.927,93.91,93.91,93.084
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf30,Aerial3200_1920x1080_5994_10bit_420,av1,720p,720,30,ladder,3039.243,10-bit src,59.94006309148265,90.868,93.706,91.891,91.891,91.287
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf40,Aerial3200_1920x1080_5994_10bit_420,av1,720p,720,40,ladder,1922.065,10-bit src,59.94006309148265,88.461,92.083,89.168,89.168,88.857
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf50,Aerial3200_1920x1080_5994_10bit_420,av1,720p,720,50,ladder,1211.267,10-bit src,59.94006309148265,84.263,89.309,85.14,85.14,85.251
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf60,Aerial3200_1920x1080_5994_10bit_420,av1,720p,720,60,ladder,559.088,10-bit src,59.94006309148265,72.688,81.855,74.218,74.218,75.388
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf18,Aerial3200_1920x1080_5994_10bit_420,h264,720p,720,18,ladder,6166.458,10-bit src,59.94006309148265,91.51,94.094,92.952,92.952,92.23
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf23,Aerial3200_1920x1080_5994_10bit_420,h264,720p,720,23,ladder,2676.027,10-bit src,59.94006309148265,85.824,90.337,87.47,87.47,87.338
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf28,Aerial3200_1920x1080_5994_10bit_420,h264,720p,720,28,ladder,1346.032,10-bit src,59.94006309148265,74.105,82.82,77.352,77.352,78.23
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf33,Aerial3200_1920x1080_5994_10bit_420,h264,720p,720,33,ladder,792.792,10-bit src,59.94006309148265,54.316,70.112,61.167,61.167,63.453
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf38,Aerial3200_1920x1080_5994_10bit_420,h264,720p,720,38,ladder,484.167,10-bit src,59.94006309148265,30.738,53.897,38.615,38.615,42.435
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf43,Aerial3200_1920x1080_5994_10bit_420,h264,720p,720,43,ladder,278.166,10-bit src,59.94006309148265,14.768,40.856,13.895,13.895,18.829
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf18,Aerial3200_1920x1080_5994_10bit_420,hevc,720p,720,18,ladder,5734.572,10-bit src,59.94006309148265,91.674,94.186,93.219,93.219,92.468
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf23,Aerial3200_1920x1080_5994_10bit_420,hevc,720p,720,23,ladder,2590.812,10-bit src,59.94006309148265,86.794,90.915,88.507,88.507,88.267
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf28,Aerial3200_1920x1080_5994_10bit_420,hevc,720p,720,28,ladder,1203.751,10-bit src,59.94006309148265,76.946,84.567,79.594,79.594,80.26
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf33,Aerial3200_1920x1080_5994_10bit_420,hevc,720p,720,33,ladder,576.811,10-bit src,59.94006309148265,60.108,73.846,64.341,64.341,66.376
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf38,Aerial3200_1920x1080_5994_10bit_420,hevc,720p,720,38,ladder,287.07,10-bit src,59.94006309148265,37.902,59.1,42.362,42.362,45.968
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf43,Aerial3200_1920x1080_5994_10bit_420,hevc,720p,720,43,ladder,146.139,10-bit src,59.94006309148265,16.082,42.034,11.383,11.383,16.397
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf20,Aerial3200_1920x1080_5994_10bit_420,vp9,720p,720,20,ladder,9917.731,10-bit src,59.94006309148265,93.592,95.614,94.414,94.414,93.531
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf30,Aerial3200_1920x1080_5994_10bit_420,vp9,720p,720,30,ladder,4514.279,10-bit src,59.94006309148265,89.469,92.804,90.563,90.563,90.102
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf40,Aerial3200_1920x1080_5994_10bit_420,vp9,720p,720,40,ladder,1944.497,10-bit src,59.94006309148265,79.6,86.312,80.694,80.694,81.247
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf50,Aerial3200_1920x1080_5994_10bit_420,vp9,720p,720,50,ladder,826.574,10-bit src,59.94006309148265,62.418,75.265,61.73,61.73,63.956
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf60,Aerial3200_1920x1080_5994_10bit_420,vp9,720p,720,60,ladder,356.621,10-bit src,59.94006309148265,39.596,60.111,34.789,34.789,38.795
