pvs,r_frames_4k,r_frames_1080,mean_v0_4k,mean_v1_4k,range_v0_4k,range_v1_4k,res_label,codec,crf,src
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf20,0.9412056277256479,0.9301197331389103,94.92682657692306,93.91034803846154,9.663967,5.766056000000006,720p,av1,20,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf30,0.936627460729795,0.9353101066888972,93.70615084615385,91.89054970000001,10.599986999999999,6.726951999999997,720p,av1,30,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf40,0.9521056705579704,0.9545303494900425,92.08334948461538,89.16776536923076,11.36484800000001,9.199192999999994,720p,av1,40,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf50,0.9590084620575261,0.9645016704017775,89.30903739230769,85.14041396923078,10.718877000000006,11.289056000000002,720p,av1,50,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__av1__crf60,0.957899336494598,0.9652921047382794,81.85524563076923,74.2177100923077,12.289204000000012,14.204420999999996,720p,av1,60,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf18,0.9713177024105477,0.9651869597969047,94.09413386153847,92.9518936,8.853878999999992,10.470484999999996,720p,h264,18,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf23,0.9781333971468092,0.9756411601100433,90.33656605384616,87.47004877692306,11.544307000000003,12.815837000000002,720p,h264,23,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf28,0.9809441320490386,0.981605349832346,82.82002331538463,77.35168595384617,13.206928000000005,15.058511999999993,720p,h264,28,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf33,0.9905669653807003,0.9910906676364869,70.11187027692309,61.16736295384615,15.233345999999997,19.498948000000006,720p,h264,33,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf38,0.983067623953874,0.9865083148898152,53.89698433846154,38.61514664615384,14.679979000000003,21.516354,720p,h264,38,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__h264__crf43,0.9600561276479436,0.9568398834993797,40.85595701538462,13.895093923076923,11.280585000000002,22.342273000000002,720p,h264,43,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf18,0.9647711852170487,0.9569323909139243,94.1856775076923,93.21884819230769,7.370812999999998,7.235055000000003,720p,hevc,18,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf23,0.9610834432978955,0.9583236930117734,90.91510781538463,88.50681851538461,8.454780999999997,9.287842999999995,720p,hevc,23,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf28,0.9663345123586397,0.9636777677877992,84.56749532307691,79.59410236923077,10.613011,11.070205999999999,720p,hevc,28,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf33,0.9729157073417511,0.9787410265209877,73.84647045384615,64.34135272307694,10.989577999999995,13.995272999999997,720p,hevc,33,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf38,0.967689921533887,0.9744678320626287,59.10048062307692,42.3616470923077,10.964574000000006,14.558480000000003,720p,hevc,38,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__hevc__crf43,0.9731418822707738,0.9712928856045774,42.03398881538462,11.383326646153847,11.858258,19.1877,720p,hevc,43,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf20,0.908643137239764,0.9078209115421713,95.61402293846155,94.41432006923077,6.840975,7.6116520000000065,720p,vp9,20,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf30,0.945279628851368,0.9516729032340955,92.8042416,90.56251316923077,10.365948000000003,12.117170000000002,720p,vp9,30,Aerial3200_1920x1080_5994_10bit_420
