src,n,mean_old,mean_new,mean_diff,min_diff,max_diff
MountainBike_1920x1080_30fps_8bit,88,91.8,65.4,-26.5,-65.1,0.0
Riverbed_1920x1080p25,88,77.0,53.8,-23.2,-47.8,0.0
TunnelFlag_1920x1080_5994_10bit_420,88,95.2,75.1,-20.1,-59.1,0.1
TreesAndGrass_1920_1080_30fps_8bit,88,88.8,69.4,-19.4,-55.9,0.0
ToddlerFountain_1920x1080_2997fps_10bit_420,88,73.9,55.1,-18.7,-42.5,0.0
Motorcycle_1920x1080_30fps_8bit,88,81.1,62.9,-18.3,-47.9,0.0
DinnerSceneCropped_1920x1080_2997fps_10bit_420,88,78.3,60.8,-17.5,-34.8,-3.2
WalkingInStreet_1920x1080_30fps,88,83.7,70.4,-13.3,-44.5,0.0
PedestrianArea_1920x1080p25,88,77.4,64.6,-12.8,-38.3,-0.2
Skater227_1920x1080_30fps,88,78.4,67.0,-11.3,-27.5,-0.3
RitualDance_1920x1080_5994_10bit_420,88,72.3,61.2,-11.1,-31.8,-0.2
Aerial3200_1920x1080_5994_10bit_420,88,74.7,63.8,-10.9,-37.2,-0.0
OldTownCross_1920x1080p50,88,73.3,62.9,-10.4,-33.8,-1.1
Vertical_Carnaby_1080x1920_5994,88,74.8,64.6,-10.2,-28.6,-2.8
RushFieldCuts_1920x1080_2997,88,73.8,63.7,-10.2,-38.6,0.3
CrowdRun_1920x1080p50,88,69.1,58.8,-10.2,-36.0,0.5
MeridianTalk_sdr_1920x1080p_5994_10bit,88,78.4,68.7,-9.8,-27.7,-2.3
FoodMarket_1920x1080_5994_10bit_420,88,77.8,68.0,-9.8,-39.4,-0.1
WorldCup_1920x1080_30p,88,77.8,70.7,-7.0,-30.0,-0.6
WorldCup_far_1920x1080_30p,88,80.5,75.3,-5.3,-33.2,0.5
Boat_1920x1080_5994_10bit_420,88,73.8,69.2,-4.5,-29.9,1.5
Vertical_bees_1080x1920_2997,88,79.3,77.2,-2.1,-22.0,0.8
